"Study_No"	"Study_ID"	"Arm_ID"	"Year"	"Drug"	"No_randomised"	"OverallEfficM"	"OverallEfficSD"	"OverallEfficN"	"PosM"	"PosSD"	"PosN"	"NegM"	"NegSD"	"NegN"	"DeprM"	"DeprSD"	"DeprN"	"QolM"	"QolSD"	"QolN"	"SocialFunctM"	"SocialFunctSD"	"SocialFunctN"	"WeightContM"	"WeightContSD"	"WeightContN"	"DefCritWeightGainDich"	"WeightDichN"	"ProlactinM"	"ProlactinSD"	"ProlactinN"	"ProlactinHyperDichN"	"QTcM"	"QTcSD"	"QTcN"	"QTcProlongN"	"NResponseMain"	"NReponseMainDef"	"NResponse50"	"NResponse20"	"DropoutInefficacy"	"DropoutTotal"	"SedationN"	"AntiParkinMedN"	"AkathisiaN"	"LibidoDecrAllN"	"LibidoIncrAllN"	"ErectileDysfunctionN"	"EjaculationDysfunctionN"	"AmenorrheaN"	"GalactorrhoeaN"	"TachykardiaN"	"BradykardiaN"	"ArrhythmiaN"	"ConstipationN"	"BlurredVisionN"	"UrinaryRetentionN"	"DryMouthN"	"HypotensionN"	"SeizuresN"	"LeukopeniaN"	"AgranulozytosisN"	"MaligNeuroSyndrN"	"PulmonaryEmbolismN"	"StrokeN"	"DeepVeinThrombosisN"	"DeathAllN"	"Randomisation"	"Allocation"	"BlindPersonalPatients"	"BlindOutcomeAssesment"	"MissingOutcomes"	"SelectiveReporting"	"OtherBias"	"MeanDose"	"DoseOlaEquivalent"	"Sponsor"	"Duration"	"DoseFixFlex"	"MeanAge"	"DurationIllYears"	"Diag_crit"	"NumberSites"	"ComplITT"	"Placebo"	"BaselineSeverity"	"No_male"	"Blinding_type"	"CalculatedSD"	"PlaceboChange"	"FailedStudy"	"CholinergicN"	"SexualSideEffN"	"RoBCategory"	"HighRoB"
"250"	611	"Small 1997"	2987	1997	"Placebo"	96	-1	15.44	92	-0.4	1.25	92	-0.1	3.44	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7% increase"	5	-14.9	14.34	57	6	NA	NA	NA	NA	36	"30% BPRS reduction"	NA	NA	42	57	14	NA	1	NA	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	1	1	1	0	NA	0	6	2	38	NA	"DSM-III-R"	37	1	1	101	64	2	1	-1	0	3	NA	2	0
"251"	629	"Costa e Silva 1989"	2376	1989	"Haloperidol"	20	-32.7	22	18	NA	NA	NA	7.6	3.03762636165864	18	4.8	3.6	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	"semi-quantitative 5-point scale"	NA	NA	2	2	0	7	NA	NA	NA	NA	NA	0	0	3	NA	NA	0	2	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	-1	0	-1	28	56	0	3	2	35.5	NA	"ICD-9"	NA	2	0	123	14	2	1	NA	0	2	0	3	1
"252"	629	"Costa e Silva 1989"	2375	1989	"Amisulpride"	20	-39	15	18	NA	NA	NA	5.4	3.03762636165864	17	3.6	3.6	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	"semi-quantitative 5-point scale"	NA	NA	2	2	1	1	NA	NA	NA	NA	NA	0	0	5	NA	NA	2	1	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	-1	0	-1	850	24.6519721577726	1	3	2	35.2	NA	"ICD-9"	NA	2	0	125	14	2	1	NA	0	3	0	3	1
"253"	632	"Cutler 2006"	2297	2006	"Placebo"	88	-5.3	18.32	85	-2.25	6.3	85	-1.25	5.43	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29	"CGI-I 1 or 2 or 30% PANSS reduction"	NA	NA	20	44	0	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	0	NA	0	6	1	42.9	18.3	"DSM-IV"	36	1	1	90.9	72	2	2	-5.3	0	4	NA	1	0
"254"	632	"Cutler 2006"	2296	2006	"Aripiprazole"	94	-11.3	18.32	94	-4.2	6.3	94	-2.7	5.43	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	"CGI-I 1 or 2 or 30% PANSS reduction"	NA	NA	14	41	3	8	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	1	1	1	10	6.71140939597315	1	6	1	40	14.8	"DSM-IV"	36	1	1	90	72	2	2	NA	0	10	NA	1	0
"255"	633	"Cutler 2008"	2298	2008	"Iloperidone"	303	-12	18.07	283	-4.21	5.72	283	-2.96	4.54	283	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79	3.61969389008628	300	"?7% increase"	64	2.6	26.7	266	40	7.2	20.2	288	2	143	"20%PANSS positive reduction"	NA	NA	21	110	38	36	4	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	26	21	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	-1	1	1	24	20	1	4	1	39.5	NA	"DSM-IV"	44	1	1	92.7	245	2	2	NA	0	26	NA	2	0
"256"	633	"Cutler 2008"	2382	2008	"Ziprasidone"	151	-12.3	21.23	144	-4.23	5.76	144	-3.06	4.56	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11	3.61969389008628	150	"?7% increase"	11	1.9	26	134	13	6.1	18.6	148	1	NA	NA	NA	NA	12	53	41	23	11	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	11	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	-1	1	1	160	20	0	4	1	40	NA	"DSM-IV"	44	1	1	90.95	113	2	2	NA	0	11	NA	2	0
"257"	633	"Cutler 2008"	2299	2008	"Placebo"	152	-7.1	18.07	140	-2.22	5.8	140	-1.91	4.6	140	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52	3.61969389008628	147	"?7% increase"	5	-6.3	22.4	128	2	-2	18.2	141	0	48	"20%PANSS positive reduction"	NA	NA	19	62	12	11	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	3	2	NA	NA	NA	NA	NA	NA	0	1	1	1	1	-1	1	1	0	NA	0	4	1	40.7	NA	"DSM-IV"	44	1	1	90.3	114	2	2	-7.1	0	1	NA	2	0
"258"	649	"Durgam 2014"	2424	2014	"Risperidone"	140	-29.3	19.97	138	-10.3	7.05	138	-5.8	4.69	138	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3.2	140	">=7% increase"	22	24.81832867	36.7063236773344	140	NA	5.1	24.757979667836	140	0	60	"30%PANSS reduction"	NA	NA	10	39	16	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	4	13.3333333333333	0	6	1	36.5	12.3	"DSM-IV-TR"	65	1	1	98.1	98	2	1	NA	0	13	NA	2	0
"259"	649	"Durgam 2014"	2423	2014	"Placebo"	151	-13.3	21.89	148	-4.7	7.29	148	-2.5	4.86	148	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	2.9	151	">=7% increase"	3	-11.35111672	36.7063236773344	151	NA	-1.4	24.757979667836	151	0	28	"30%PANSS reduction"	NA	NA	33	72	5	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	0	NA	0	6	1	36	11.6	"DSM-IV-TR"	65	1	1	97.3	101	2	1	-13.3	0	5	NA	2	0
"260"	649	"Durgam 2014"	76207	2014	"Cariprazine"	438	-22.2188235294118	20.6386583816	425	-7.50941176470588	7.13545915138178	425	-5.07176470588235	4.77103298137233	425	NA	NA	299997	NA	NA	NA	NA	NA	NA	1.26552511415525	3.12396446010505	438	"?7% increase"	8	-14.6445914486986	36.7063236773344	438	NA	-1.9675799086758	24.757979667836	438	0	146	"PANSS responders (?30% improvement from baseline)"	NA	NA	50	154	26	NA	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	3.00684931506849	10.0228310502283	1	6	1	36.5643835616438	NA	"DSM-IV-TR"	65	1	1	96.9990867579909	303	2	1	NA	0	30	NA	2	0
"261"	659	"Fabre 1995"	2444	1995	"Placebo"	4	-4.7	13.2	4	0.25	2.9	4	-1	4.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	"30% BPRS reduction"	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	0	NA	0	3	2	35	12	"DSM-III-R"	1	1	1	79	4	2	1	-6	0	NA	NA	2	0
"262"	659	"Fabre 1995"	2445	1995	"Quetiapine"	8	-20.9	8.5	8	-4	2.4	8	-5.3	1.3	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	"30% BPRS reduction"	NA	NA	0	0	4	0	0	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	1	1	1	137.5	3.7125	1	3	2	34	12	"DSM-III-R"	1	1	1	73	8	2	1	NA	0	NA	NA	2	0
"263"	665	"Fleischhacker 2009_6weeks"	2457	2009	"Olanzapine"	348	-29.5	20.489239021633	344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233	"CGI of 3 or less or 20% PANSS reduction"	NA	233	25	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	15.4	15.4	0	6	2	37.3	10.5	"DSM-IV"	119	1	0	NA	196	2	13	NA	0	NA	NA	1	0
"264"	665	"Fleischhacker 2009_6weeks"	2456	2009	"Aripiprazole"	355	-24.6	20.489239021633	347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	231	"CGI of 3 or less or 20% PANSS reduction"	NA	226	30	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	23	15.4362416107383	1	6	2	35.9	9.7	"DSM-IV"	119	1	0	NA	203	2	13	NA	0	NA	NA	1	0
"265"	674	"Geffen 2012"	2476	2012	"Risperidone"	91	-26.2	23.36	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"adverse event"	NA	45.74	44.96	77	NA	NA	NA	NA	4	53	"20% PANSS"	NA	53	4	20	NA	37	14	NA	NA	NA	NA	NA	NA	9	NA	4	5	NA	NA	NA	NA	1	NA	NA	0	NA	0	NA	1	1	1	0	0	1	1	1	6.8	22.6666666666667	0	6	2	34.2	8.26	"DSM-IV-TR"	34	1	1	99.5	65	2	2	NA	0	5	NA	1	0
"266"	674	"Geffen 2012"	2475	2012	"Placebo"	93	-14.4	23.13	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"adverse event"	NA	-3.39	22.31	80	NA	NA	NA	NA	0	36	"20% PANSS"	NA	36	18	37	NA	16	1	NA	NA	NA	NA	NA	NA	11	NA	0	2	NA	NA	NA	NA	0	NA	NA	1	NA	0	NA	0	1	1	0	0	1	1	1	0	NA	0	6	2	35.2	9.34	"DSM-IV-TR"	34	1	1	98.5	56	2	2	-14.4	0	2	NA	1	0
"267"	684	"Grootens 2009"	2404	2009	"Ziprasidone"	39	-14.86	12.99	34	-5.62	4.97	34	-2.38	4.79	34	-0.21	4.32	33	-2.42	5.73	26	NA	NA	NA	0.1	3.6	30	"?7%"	5	18.8	75.1193203924348	30	12	5.2	18.2	35	NA	20	">20% PANSS improvement"	NA	20	0	11	22	17	13	4	0	4	1	0	0	1	NA	NA	0	2	0	3	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	1	104	13	1	8	2	24.3	NA	"DSM-IV"	4	1	0	79.43	31	2	1	NA	0	3	4	2	0
"268"	684	"Grootens 2009"	2403	2009	"Olanzapine"	35	-17.15	10.25	33	-6.7	4.54	33	-2.76	4.15	33	-1.27	4	33	-1.2	6.04	30	NA	NA	NA	6.8	4.1	31	"?7%"	20	-8	75.1193203924348	28	17	-1.7	21.1	33	NA	20	">20% PANSS improvement"	NA	20	0	6	16	7	5	2	2	1	1	1	1	0	NA	NA	3	1	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	1	14	14	0	8	2	23.1	NA	"DSM-IV"	4	1	0	80.65	30	2	1	NA	0	3	2	2	0
"269"	702	"Honigfeld 1984a"	2549	1984	"Placebo"	8	5	23.03	8	NA	NA	NA	-0.31	1.06	8	-0.41	1.19	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	0	1	0	NA	0	4	2	NA	NA	"Clinical Diagnosis"	1	NA	1	101	NA	2	1	7	0	NA	NA	2	0
"270"	702	"Honigfeld 1984a"	2547	1984	"Clozapine"	16	-25	13.72	14	NA	NA	NA	-0.86	1.34	14	-0.8	0.8	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	0	1	608.25	30.4125	1	4	2	NA	NA	"Clinical Diagnosis"	1	NA	1	116	NA	2	1	NA	0	NA	NA	2	0
"271"	702	"Honigfeld 1984a"	2548	1984	"Chlorpromazine"	15	-8.75	17.45	12	NA	NA	NA	-0.23	0.95	12	0.41	0.99	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	0	1	1183.25	39.04725	0	4	2	NA	NA	"Clinical Diagnosis"	1	NA	1	113	NA	2	1	NA	0	NA	NA	2	0
"272"	709	"Hoyberg 1993"	2564	1993	"Risperidone"	55	-24	28	50	-7	5	50	-6	6	50	-3	2.33	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	"reported as AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	"at least 20% PANSS reduction"	NA	37	2	14	22	15	NA	4	5	4	6	2	2	10	NA	NA	8	7	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	8.5	28.3333333333333	1	8	2	38	NA	"DSM-III-R"	18	1	0	96	40	2	1	NA	0	9	6	1	0
"273"	709	"Hoyberg 1993"	2563	1993	"Perphenazine"	52	-20	21	51	-5	5.33	51	-5	7.8	51	-3	2.67	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	"reported as AE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	"at least 20% PANSS reduction"	NA	30	3	15	12	17	NA	4	7	1	0	4	0	5	NA	NA	2	0	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	28	18.7919463087248	0	8	2	35	NA	"DSM-III-R"	18	1	0	93	37	2	1	NA	0	7	7	1	0
"274"	710	"Huttunen 1995"	2565	1995	"Risperidone"	48	-14.4	20.489239021633	48	-5	6.79	48	-3	6.6	48	-1.7	3.38	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	"at least 20% PANSS reduction"	NA	28	9	17	34	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	-1	1	8	26.6666666666667	1	6	2	34	11	"DSM-III-R"	6	1	0	94.1	24	2	13	NA	0	NA	NA	2	0
"275"	710	"Huttunen 1995"	2566	1995	"Zuclopenthixol"	50	-11.4	20.489239021633	50	-3.8	6.29	50	-1.8	5.9	50	-2.2	3.58	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	"at least 20% PANSS reduction"	NA	21	7	23	44	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	-1	1	38	15.2	0	6	2	38	14	"DSM-III-R"	6	1	0	92.5	23	2	13	NA	0	NA	NA	2	0
"276"	714	"Ishigooka 2001"	2574	2001	"Olanzapine"	93	-11.84	17.42	80	-2.44	5.37	80	-3.76	4.65	80	-1.58	3.27	80	NA	NA	NA	NA	NA	NA	0.96	3	90	"reported"	NA	-89.9	181.6	68	NA	NA	NA	NA	NA	40	"Moderately or remarkably improved"	NA	NA	4	18	9	36	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	1	10.31	10.31	1	8	2	42.9	15.8	"ICD-10"	67	1	0	88.3	NA	2	1	NA	0	NA	NA	2	0
"277"	714	"Ishigooka 2001"	2573	2001	"Haloperidol"	89	-7.94	21.85	78	-1.29	6.26	78	-2.94	5.65	78	-0.86	3.59	78	NA	NA	NA	NA	NA	NA	-0.71	3	84	"reported"	NA	-46.7	170.8	66	NA	NA	NA	NA	NA	34	"Moderately or remarkably improved"	NA	NA	3	30	6	48	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	1	1	7.36	14.72	0	8	2	42.9	17.5	"ICD-10"	67	1	0	83.5	NA	2	1	NA	0	14	NA	2	0
"278"	715	"Itoh 1977"	2575	1977	"Clozapine"	47	37	10.5	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	"minimally improved"	NA	NA	0	4	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	6	11	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	287.5	14.375	1	12	2	NA	NA	"Clinical Diagnosis"	7	NA	0	84	NA	2	1	NA	0	12	NA	2	0
"279"	715	"Itoh 1977"	2576	1977	"Haloperidol"	41	40	13.5	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	"minimally improved"	NA	NA	0	0	10	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	11	5	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	-1	1	8.625	17.25	0	12	2	NA	NA	"Clinical Diagnosis"	7	NA	0	84	NA	2	1	NA	0	11	NA	2	0
"280"	718	"Jann 1997"	2582	1997	"Placebo"	18	46.9	14.6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	0	1	0	NA	0	6	2	35	NA	"DSM-III-R"	1	1	1	86	NA	2	1	-2	0	NA	NA	2	0
"281"	718	"Jann 1997"	2581	1997	"Haloperidol"	18	35.6	10.5	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	0	1	40	80	0	6	2	32.3	NA	"DSM-III-R"	1	1	1	89	NA	2	1	NA	0	NA	NA	2	0
"282"	722	"Johnson NCT00397033"	2590	2008	"Paliperidone"	209	-28.98	20.92	203	-9.3	7.06	203	-4.3	7.12	203	-4.6	4.27	203	NA	NA	NA	NA	NA	NA	1.3	2.7	206	">7% increase"	10	21.96	42.97	206	87	NA	NA	NA	0	121	"30%PANSS"	NA	NA	21	60	12	33	10	NA	NA	1	NA	NA	1	NA	NA	NA	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	8.55	18.981	1	6	2	37.33	11.46	"DSM-IV"	44	1	1	94.4	134	2	1	NA	0	9	1	1	0
"283"	722	"Johnson NCT00397033"	2591	2008	"Placebo"	107	-24.1	21.72	107	-7.3	7.24	107	-3.6	5.17	107	-3.8	3.1	107	NA	NA	NA	NA	NA	NA	0.3	2	107	">7% increase"	1	-7.42	25.16	107	7	NA	NA	NA	0	43	"30%PANSS"	NA	NA	22	44	5	14	8	1	NA	0	NA	NA	0	1	NA	NA	2	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	0	NA	0	6	2	37.1	10.5	"DSM-IV"	44	1	1	91.6	67	2	1	-24.1	0	4	1	1	0
"284"	723	"Johnson NCT00412373"	2593	2008	"Placebo"	95	-10.8	18.7	93	-3.3	5.79	93	-1.1	5.79	93	-6.2	10.61	93	NA	NA	NA	NA	NA	NA	0.1	2.2	95	">7% increase"	2	-7.9	22.6	95	0	NA	NA	NA	0	26	"at least 30% improvement in PANSS"	NA	NA	16	43	NA	6	1	0	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	0	NA	0	6	2	37.3	13.3	"DSM-IV"	52	1	1	91.7	54	2	1	-10.8	0	NA	0	1	0
"285"	723	"Johnson NCT00412373"	2592	2008	"Paliperidone"	216	-20	18.9	211	-6	7.26	211	-3.1	5.81	211	-10.2	10.17	211	NA	NA	NA	NA	NA	NA	0.8	2.7	214	">7% increase"	12	35.8	49.4	214	5	NA	NA	NA	0	85	"30%PANSS"	NA	NA	22	82	NA	30	13	1	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	8.6	19.092	1	6	2	37.7	13.3	"DSM-IV"	52	1	1	92.3	116	2	1	NA	0	NA	3	1	0
"286"	724	"Johnson NCT00524043"	2594	2008	"Paliperidone"	70	-15	26.02	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.31	26.144	65	-5.7	13.39	70	0.5	2.75	64	">7% increase"	2	51.4	65.6	60	NA	NA	NA	NA	1	33	"30% PANSS"	NA	41	13	28	0	15	4	NA	NA	NA	NA	NA	NA	2	NA	NA	6	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	6	13.32	1	6	1	40.3	15.3	"DSM-IV"	22	1	1	91.9	47	2	1	NA	1	6	NA	1	0
"287"	724	"Johnson NCT00524043"	2595	2008	"Placebo"	65	-11.7	22.84	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.69	25.486	58	1.6	17.09	63	0.6	3.09	56	">7% increase"	3	-0.1	10.89	54	NA	NA	NA	NA	0	27	"30% PANSS"	NA	31	15	31	3	5	1	NA	NA	NA	NA	NA	NA	0	NA	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	0	NA	0	6	1	36.5	11.9	"DSM-IV"	22	1	1	NA	46	2	1	-11.7	1	4	NA	1	0
"288"	734	"Kane 2007b"	2615	2007	"Olanzapine"	128	-19.9	19	128	-6.1	6.4	128	-5.1	5.7	128	-2.6	3.3	128	NA	NA	NA	-10.3	15.3	128	1.3	2.8	123	"?7% increase"	13	-9.47	44.69	125	NA	NA	NA	NA	1	33	"50%PANSS"	33	NA	19	38	18	10	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	10	10	0	6	1	36.3	9.8	"DSM-IV"	53	1	1	93	60	2	1	NA	0	NA	NA	1	0
"289"	734	"Kane 2007b"	2616	2007	"Paliperidone"	375	-19.53	21.02	374	-7.02	7.02	374	-4.25	5.92	374	-2.57	3.39	374	NA	NA	NA	-9.6	15.43	366	0.57	2.85	362	"?7% increase"	15	81.72	61.83	374	NA	NA	NA	NA	0	97	"50%PANSS"	97	NA	52	108	23	64	NA	NA	NA	NA	NA	NA	NA	68	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	9.1	20.202	1	6	1	37.14	10.31	"DSM-IV"	53	1	1	94.04	202	2	1	NA	0	NA	NA	1	0
"290"	734	"Kane 2007b"	2617	2007	"Placebo"	127	-4.1	23.2	126	-2.1	7	126	-1	5.9	126	-0.6	4	126	NA	NA	NA	-0.5	15.5	120	-0.7	2.4	119	"?7% increase"	2	-12.54	43.44	120	NA	NA	NA	NA	NA	19	"50%PANSS"	19	NA	51	69	7	8	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	1	1	1	0	NA	0	6	1	37.9	9.9	"DSM-IV"	53	1	1	94.1	66	2	1	-4.1	0	NA	NA	1	0
"291"	740	"Keck 1998"	2630	1998	"Ziprasidone"	47	-10.1	13.1	41	-4.1	4.7	41	-7.4	17.7	41	-5.6	5.5	26	NA	NA	NA	NA	NA	NA	0	3.61969389008628	47	NA	NA	NA	NA	NA	NA	414.8	31.3	42	NA	20	"at least 30% BPRS reduction"	NA	NA	8	23	4	9	1	NA	NA	1	NA	NA	NA	2	NA	NA	5	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	120	15	1	4	1	38.8	14.6	"DSM-III-R"	12	1	1	65	39	2	1	NA	0	5	1	2	0
"292"	740	"Keck 1998"	2629	1998	"Placebo"	48	-4.1	12.2	47	-2.3	4.1	47	-2.4	17.8	47	-2.6	6	33	NA	NA	NA	NA	NA	NA	0	3.61969389008628	48	NA	NA	NA	NA	NA	NA	401.1	24.5	41	NA	12	"at least 30% BPRS reduction"	NA	NA	12	24	4	4	3	NA	NA	0	NA	NA	NA	0	NA	NA	2	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	0	NA	0	4	1	39	17.3	"DSM-III-R"	12	1	1	66	41	2	1	-5	0	2	0	2	0
